Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,10167,19162893.17,14522148.23
Sucursal Norte,Fanta,2020,1,1844,3368980.06,2514372.89
Sucursal Norte,Sprite,2020,1,8090,13967940.46,10723853.93
Sucursal Norte,7 Up,2020,1,1052,1591282.47,1165929.08
Sucursal Norte,Pepsi,2020,1,8773,15040756.47,9384030.7
Sucursal Centro,Coca Cola,2020,1,9995,21958408.45,15872051.85
Sucursal Centro,Fanta,2020,1,1992,3607702.91,2510489.43
Sucursal Centro,Sprite,2020,1,8651,16416035.24,11726753.19
Sucursal Centro,7 Up,2020,1,1051,1567307.13,1005043.19
Sucursal Centro,Pepsi,2020,1,7405,12074053.42,9171754.72
Sucursal Sur,Coca Cola,2020,1,9448,18360612.23,13907739.82
Sucursal Sur,Fanta,2020,1,1953,3404684.49,2706962.67
Sucursal Sur,Sprite,2020,1,7586,14235794.23,10476703.48
Sucursal Sur,7 Up,2020,1,1084,1610447.34,1127456.5
Sucursal Sur,Pepsi,2020,1,7633,13103065.55,10231974.52
Sucursal Norte,Coca Cola,2020,2,10527,22079592.07,13362656.84
Sucursal Norte,Fanta,2020,2,2127,4173917.88,3120393.17
Sucursal Norte,Sprite,2020,2,8773,15823343.52,10420596.77
Sucursal Norte,7 Up,2020,2,1084,1764102.83,1243750.21
Sucursal Norte,Pepsi,2020,2,7633,12478710.39,8193790.5
Sucursal Centro,Coca Cola,2020,2,9012,18761255.52,13139513.32
Sucursal Centro,Fanta,2020,2,1949,3852702.68,2413386.02
Sucursal Centro,Sprite,2020,2,7683,14861070.56,11579835.64
Sucursal Centro,7 Up,2020,2,1034,1588243.46,1109975.51
Sucursal Centro,Pepsi,2020,2,7648,12712491.53,8291112.6
Sucursal Sur,Coca Cola,2020,2,9484,20635466.28,16147751.03
Sucursal Sur,Fanta,2020,2,1895,3126117.84,2096643.11
Sucursal Sur,Sprite,2020,2,8737,15402684.42,11263373.34
Sucursal Sur,7 Up,2020,2,972,1393191.31,869969.3
Sucursal Sur,Pepsi,2020,2,8691,13332560.89,10216198.23
Sucursal Norte,Coca Cola,2020,3,9988,19991440.21,13445126.6
Sucursal Norte,Fanta,2020,3,2155,3874876.61,2772832.13
Sucursal Norte,Sprite,2020,3,8721,15413912.49,10918100.76
Sucursal Norte,7 Up,2020,3,1055,1653567.7,1061668.79
Sucursal Norte,Pepsi,2020,3,8612,14644190.1,9743234.07
Sucursal Centro,Coca Cola,2020,3,10317,18845936.84,12969456.94
Sucursal Centro,Fanta,2020,3,1934,3476816.38,2583871.27
Sucursal Centro,Sprite,2020,3,8492,15210329.17,11329822.66
Sucursal Centro,7 Up,2020,3,1032,1655460.51,1060657.28
Sucursal Centro,Pepsi,2020,3,7973,13573486.23,9390564.24
Sucursal Sur,Coca Cola,2020,3,10357,18783825.6,12133124.39
Sucursal Sur,Fanta,2020,3,2116,4067058.71,2824564.01
Sucursal Sur,Sprite,2020,3,8114,16463971.45,13024656.19
Sucursal Sur,7 Up,2020,3,1043,1546435.15,987928.62
Sucursal Sur,Pepsi,2020,3,7653,13847271.2,8516670.07
Sucursal Norte,Coca Cola,2020,4,10739,20779839.39,14433109.05
Sucursal Norte,Fanta,2020,4,2134,3795307.04,2951717.81
Sucursal Norte,Sprite,2020,4,8302,16138683.54,9842658.01
Sucursal Norte,7 Up,2020,4,1027,1463729.56,1141832.45
Sucursal Norte,Pepsi,2020,4,8076,13712472.15,9092053.73
Sucursal Centro,Coca Cola,2020,4,10289,19077456.56,11978814.29
Sucursal Centro,Fanta,2020,4,2115,4063287.11,2617507.56
Sucursal Centro,Sprite,2020,4,7840,16195151.97,10627816.61
Sucursal Centro,7 Up,2020,4,1013,1495277.61,1032631.04
Sucursal Centro,Pepsi,2020,4,8268,14289902.91,9804134.22
Sucursal Sur,Coca Cola,2020,4,10777,22855824.84,15001057.02
Sucursal Sur,Fanta,2020,4,2158,3599823.49,2231448.52
Sucursal Sur,Sprite,2020,4,8486,16445173.73,12322875.81
Sucursal Sur,7 Up,2020,4,1086,1758699.18,1401739.38
Sucursal Sur,Pepsi,2020,4,8166,14750386.01,9438666.96
Sucursal Norte,Coca Cola,2020,5,10407,22132521.99,16326649.4
Sucursal Norte,Fanta,2020,5,1899,3618056.19,2662587.63
Sucursal Norte,Sprite,2020,5,7855,15959167.89,10419201.85
Sucursal Norte,7 Up,2020,5,943,1441456.79,976587.22
Sucursal Norte,Pepsi,2020,5,8732,14427634.45,8943705.5
Sucursal Centro,Coca Cola,2020,5,10355,19571645.67,12229101.18
Sucursal Centro,Fanta,2020,5,2051,4038189.35,2446538.84
Sucursal Centro,Sprite,2020,5,7939,14305796.75,8765200.44
Sucursal Centro,7 Up,2020,5,1035,1576537.47,1209330.06
Sucursal Centro,Pepsi,2020,5,8246,13393448.73,10338312.21
